Fecha,Coord
2019-01-01,-89.618197 20.9205358 0
2019-01-01,-89.6182303 20.920537 -1
2019-01-01,-89.6182364 20.9205339 -1
2019-01-01,-89.6182364 20.9205339 -1
2019-01-01,-89.6182364 20.9205339 -1
2019-01-01,-89.6181996 20.9205310999999 0
2019-01-01,-89.6181996 20.9205310999999 0
2019-01-01,-89.6182183999999 20.9205114 0
2019-01-01,-89.6182183999999 20.9205114 0
2019-01-01,-89.6182298 20.9205155 -1
2019-01-01,-89.6182328 20.9205202 0
2019-01-01,-89.6182292 20.9205182 0
2019-01-01,-89.6182292 20.9205182 0
2019-01-01,-89.6182092999999 20.9205331 -1
2019-01-01,-89.6182388 20.9205325999999 0
2019-01-01,-89.6182388 20.9205325999999 0
2019-01-01,-89.6182211 20.9205439 0
2019-01-01,-89.6182211 20.9205439 0
2019-01-01,-89.6181364 20.9205266 0
2019-01-01,-89.6181426999999 20.9205155999999 0
2019-01-01,-89.6181426999999 20.9205155999999 0
2019-01-01,-89.6179684 20.9204367 0
2019-01-01,-89.6181436999999 20.9204952 0
2019-01-01,-89.618405 20.9216257 0
2019-01-01,-89.6185862999999 20.9274289 0
2019-01-01,-89.618521 20.9273734999999 0
2019-01-01,-89.618555 20.9274384 0
2019-01-01,-89.6185663999999 20.9274921 0
2019-01-01,-89.6185663999999 20.9274921 0
2019-01-01,-89.6185639999999 20.9274927 0
2019-01-01,-89.6185639999999 20.9274927 0
2019-01-01,-89.6185639999999 20.9274927 0
2019-01-01,-89.6185666 20.9274941 0
2019-01-01,-89.6185666 20.9274941 0
2019-01-01,-89.6185672 20.9274937 0
2019-01-01,-89.6185672 20.9274937 0
2019-01-01,-89.618566 20.9274935 0
2019-01-01,-89.618566 20.9274935 0
2019-01-01,-89.618566 20.9274935 0
2019-01-01,-89.6185643 20.9274913999999 0
2019-01-01,-89.6185643 20.9274913999999 0
2019-01-01,-89.6185643 20.9274913999999 0
2019-01-01,-89.6185644999999 20.9274924 0
2019-01-01,-89.6185644999999 20.9274924 0
2019-01-01,-89.6185643 20.9274906 0
2019-01-01,-89.6185643 20.9274906 0
2019-01-01,-89.6185646 20.9274925 0
2019-01-01,-89.6185649999999 20.9274935 0
2019-01-01,-89.6185656 20.927494 0
2019-01-01,-89.6185639999999 20.927493 0
2019-01-01,-89.6185639999999 20.927493 0
2019-01-01,-89.6185644999999 20.9274934 0
2019-01-01,-89.6185644999999 20.9274934 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.6185639 20.927493 0
2019-01-01,-89.6185635 20.9274929 0
2019-01-01,-89.6185635 20.9274929 0
2019-01-01,-89.6185632 20.927493 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.6185637 20.9274927 0
2019-01-01,-89.6185637 20.9274927 0
2019-01-01,-89.6185641 20.9274927 0
2019-01-01,-89.6185641 20.9274927 0
2019-01-01,-89.6185636 20.9274928 0
2019-01-01,-89.6185636 20.9274928 0
2019-01-01,-89.6185636 20.9274928 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.618562 20.9274949 0
2019-01-01,-89.6185647 20.9274933 0
2019-01-01,-89.6185647 20.9274933 0
2019-01-01,-89.6185651 20.9274932 0
2019-01-01,-89.6185651 20.9274932 0
2019-01-01,-89.6185651 20.9274932 0
2019-01-01,-89.6185644999999 20.9274924 0
2019-01-01,-89.6185644999999 20.9274924 0
2019-01-01,-89.6185644999999 20.9274924 0
2019-01-01,-89.6185653 20.9274933 0
2019-01-01,-89.6185653 20.9274933 0
2019-01-01,-89.6185648 20.9274927 0
2019-01-01,-89.6185648 20.9274931 0
2019-01-01,-89.6185661 20.9274924 0
2019-01-01,-89.6185661 20.9274924 0
2019-01-01,-89.6185752999999 20.9274938 0
